,CustomerID,Age,Gender,ContractType_In_days,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
92,1238,76.0,Female,30,65.40652563320121,915.691358864817,Yes,No,14,No,Electronic check,Yes
93,1027,36.0,Male,30,110.24535392055206,992.2081852849684,Yes,No,9,Yes,Credit card,Yes
94,956,80.0,Male,30,107.1132121082168,2677.8303027054203,Yes,DSL,25,Yes,Mailed check,No
95,3397,46.0,Female,730,44.41401186949991,2353.9426290834954,Yes,DSL,53,Yes,Mailed check,No
96,3941,58.0,Female,730,39.00940896880815,1365.329313908285,No,No,35,Yes,Mailed check,No
97,455,36.0,Female,730,56.83165056261255,3353.0673831941403,No,Fiber optic,59,No,Credit card,No
98,1770,89.0,Male,30,85.54657014764295,5902.713340187363,No,Fiber optic,69,Yes,Mailed check,Yes
99,298,26.0,Female,730,64.82388465553964,1879.8926550106496,Yes,No,29,No,Bank transfer,No
100,4426,77.0,Male,365,91.9055397776866,1930.0163353314183,Yes,No,21,No,Electronic check,Yes
102,3819,19.0,Female,30,36.712486151879936,1725.486849138357,No,DSL,47,No,Mailed check,Yes
103,1367,23.0,Female,730,38.65005834048039,1971.1529753645,Yes,DSL,51,Yes,Credit card,No
104,699,19.0,Male,365,95.7813305694266,4597.503867332477,No,No,48,No,Credit card,Yes
105,2250,81.0,Female,365,117.0992148523814,5854.960742619071,No,No,50,No,Mailed check,Yes
106,3098,76.0,Male,30,60.43762007162456,3868.007684583972,No,Fiber optic,64,Yes,Mailed check,No
107,4889,47.0,Female,30,44.28443030004477,2657.0658180026862,No,DSL,60,No,Electronic check,No
108,2157,38.0,Male,730,88.46716274158618,6104.234229169447,No,No,69,Yes,Electronic check,No
109,303,43.0,Male,730,114.34273662502832,5374.108621376331,Yes,DSL,47,No,Bank transfer,Yes
110,4220,53.0,Female,365,64.97345010699739,4093.327356740836,No,No,63,No,Bank transfer,Yes
111,3862,23.0,Female,730,75.76719047025666,2273.0157141077,No,Fiber optic,30,Yes,Credit card,Yes
112,4783,43.0,Male,30,61.58340502680296,3510.254086527769,Yes,DSL,57,Yes,Mailed check,Yes
113,1132,74.0,Male,30,111.50451261446533,4460.180504578612,Yes,Fiber optic,40,Yes,Bank transfer,No
114,1231,63.0,Female,730,70.35585463255225,2884.5900399346424,No,DSL,41,Yes,Credit card,Yes
115,4429,40.0,Female,365,110.27510149740776,6285.680785352243,No,Fiber optic,57,Yes,Mailed check,No
116,3163,67.0,Female,730,73.8096935472837,295.2387741891348,Yes,No,4,Yes,Mailed check,Yes
117,3017,38.0,Female,365,60.99279333510725,3476.589220101113,No,No,57,No,Electronic check,Yes
118,2340,68.0,Female,365,35.95772327867135,323.61950950804214,Yes,No,9,Yes,Bank transfer,Yes
119,773,29.0,Female,365,61.43831693562766,2334.656043553852,No,DSL,38,No,Credit card,No
120,1473,61.0,Female,730,44.768687844660136,581.9929419805818,Yes,Fiber optic,13,Yes,Mailed check,No
121,3169,63.0,Male,730,66.0012097080708,2772.0508077389736,Yes,No,42,No,Credit card,No
122,242,25.0,Male,730,61.0902058988588,1466.164941572611,Yes,Fiber optic,24,No,Bank transfer,Yes
125,1416,63.0,Female,730,89.42649300626135,6081.001524425772,Yes,No,68,No,Credit card,No
126,3293,78.0,Male,365,98.2195085068074,4026.999848779103,Yes,DSL,41,Yes,Electronic check,No
127,4802,85.0,Male,30,48.12947955282449,2502.7329367468737,Yes,DSL,52,Yes,Electronic check,Yes
128,3309,77.0,Male,30,84.75951176130154,5763.646799768505,Yes,DSL,68,Yes,Electronic check,No
129,1362,69.0,Male,30,47.47450324400229,1234.3370843440596,No,DSL,26,Yes,Bank transfer,Yes
130,2284,61.0,Male,365,47.53448501384441,380.2758801107553,Yes,Fiber optic,8,Yes,Mailed check,No
131,1157,24.0,Female,30,82.37219692791834,2553.5381047654687,No,Fiber optic,31,No,Bank transfer,No
132,1113,57.0,Male,365,40.773008220177815,1794.0123616878238,Yes,DSL,44,No,Bank transfer,No
133,3811,28.0,Female,365,101.93978447055412,2548.4946117638533,No,Fiber optic,25,No,Electronic check,No
134,1488,21.0,Female,365,106.03503348085565,3393.1210713873807,Yes,DSL,32,No,Mailed check,Yes
135,2855,89.0,Male,730,80.18098088569806,4570.315910484789,Yes,No,57,No,Bank transfer,No
137,3729,42.0,Female,730,32.98055586658794,2242.67779892798,Yes,No,68,No,Mailed check,No
138,2663,83.0,Female,30,114.57384219894529,5499.544425549373,Yes,DSL,48,Yes,Mailed check,Yes
139,3876,60.0,Male,730,75.61700680497535,3856.467347053743,No,No,51,No,Mailed check,No
140,4261,61.0,Female,365,56.48676093204113,3163.258612194303,No,Fiber optic,56,Yes,Credit card,No
141,1361,53.0,Male,30,62.89237077401594,1320.7397862543348,Yes,No,21,Yes,Electronic check,No
142,2165,75.0,Female,365,58.0668263803919,2903.341319019595,Yes,DSL,50,No,Mailed check,Yes
143,2858,36.0,Male,30,66.03808754259775,1386.7998383945528,Yes,DSL,21,Yes,Electronic check,No
144,677,22.0,Female,730,111.52779789128344,5241.806500890321,No,DSL,47,Yes,Bank transfer,Yes
145,3549,58.0,Female,30,95.32767271313035,2097.208799688868,No,DSL,22,Yes,Bank transfer,No
146,736,87.0,Male,365,30.470515686242155,2132.936098036951,No,No,70,Yes,Credit card,Yes
147,4619,29.0,Male,365,51.740532915896914,3466.615705365093,Yes,Fiber optic,67,Yes,Bank transfer,No
148,655,33.0,Male,30,36.64320766624571,1209.2258529861083,Yes,DSL,33,Yes,Bank transfer,Yes
149,374,33.0,Male,30,115.28695203580835,5418.486745682993,No,No,47,No,Mailed check,Yes
150,2114,35.0,Male,365,22.076408972446096,1434.9665832089963,No,DSL,65,No,Mailed check,Yes
151,1955,77.0,Female,365,59.24448441769249,3732.402518314627,Yes,DSL,63,No,Bank transfer,No
152,2652,50.0,Female,730,27.789376559515706,1389.4688279757852,No,Fiber optic,50,No,Mailed check,Yes
153,2007,38.0,Female,30,20.099899226694266,20.099899226694266,No,DSL,1,No,Bank transfer,No
154,901,79.0,Female,365,20.956171285047823,1131.6332493925825,Yes,No,54,Yes,Credit card,Yes
155,1040,29.0,Male,730,49.29056754833596,887.2302158700472,Yes,Fiber optic,18,Yes,Bank transfer,Yes
156,1912,31.0,Female,365,76.83627588475937,4687.012828970322,No,Fiber optic,61,Yes,Electronic check,No
157,4277,55.0,Female,30,72.04834143905484,2953.9819990012484,No,Fiber optic,41,No,Credit card,Yes
158,196,50.0,Female,730,26.30153906928105,499.72924231633993,Yes,Fiber optic,19,Yes,Mailed check,Yes
159,2760,76.0,Female,30,77.36057861238032,4254.831823680917,Yes,DSL,55,Yes,Bank transfer,No
160,4457,28.0,Male,365,37.11224219805666,445.34690637668,Yes,DSL,12,No,Credit card,No
161,4672,31.0,Female,730,50.76376081000897,101.52752162001794,No,No,2,Yes,Bank transfer,No
162,2002,49.0,Male,30,36.555317977469386,2193.319078648163,No,DSL,60,Yes,Mailed check,Yes
163,4155,19.0,Female,365,41.87887458075835,753.8197424536503,Yes,DSL,18,No,Credit card,Yes
164,420,63.0,Female,365,46.92603164709776,3050.1920570613543,No,Fiber optic,65,Yes,Electronic check,Yes
165,1702,43.0,Female,365,22.222063951993835,155.55444766395684,No,Fiber optic,7,Yes,Mailed check,No
166,1239,89.0,Female,730,47.72250074218823,3149.6850489844232,Yes,Fiber optic,66,Yes,Credit card,No
167,2809,34.0,Female,365,41.54107052621403,1370.855327365063,No,Fiber optic,33,No,Mailed check,Yes
169,3456,74.0,Female,730,72.00625751846134,3744.32539095999,Yes,DSL,52,Yes,Bank transfer,Yes
170,1612,76.0,Male,365,70.07055904938852,1051.0583857408278,Yes,DSL,15,No,Mailed check,Yes
171,4604,67.0,Female,365,32.890505388163746,2006.3208286779884,Yes,DSL,61,Yes,Mailed check,No
172,3942,76.0,Female,730,67.54838061832868,2093.999799168189,Yes,DSL,31,Yes,Electronic check,No
173,3787,62.0,Male,30,111.20680598883185,5115.513075486264,Yes,DSL,46,Yes,Bank transfer,Yes
174,1148,49.0,Male,730,44.637139862798186,133.91141958839455,Yes,DSL,3,Yes,Credit card,Yes
175,1026,40.0,Male,730,51.34105862196249,3439.8509276714867,No,No,67,No,Credit card,No
176,1437,19.0,Female,365,96.09735645316532,5285.354604924092,No,No,55,Yes,Electronic check,No
177,4095,77.0,Male,365,75.40170191076189,4071.6919031811417,No,Fiber optic,54,No,Credit card,Yes
178,3858,77.0,Male,30,93.67216436264016,2341.8041090660045,No,No,25,Yes,Credit card,Yes
179,4107,84.0,Male,365,103.75995675057702,4669.1980537759655,No,Fiber optic,45,No,Mailed check,No
180,4408,45.0,Female,30,51.98530389297101,571.838342822681,Yes,No,11,No,Electronic check,Yes
181,1456,63.0,Female,365,45.89960732996328,1009.791361259192,No,Fiber optic,22,No,Credit card,No
182,1529,37.0,Male,730,81.83403172799413,2209.5188566558413,Yes,No,27,Yes,Mailed check,Yes
183,2021,81.0,Female,730,86.5534000170014,5799.077801139093,No,No,67,No,Mailed check,No
184,1049,47.0,Female,30,63.76523647244223,3379.557533039438,Yes,Fiber optic,53,Yes,Credit card,No
185,4748,46.0,Female,730,78.27651134435445,391.3825567217722,No,Fiber optic,5,No,Electronic check,Yes
186,1782,36.0,Female,365,61.64904123690699,3452.346309266791,Yes,DSL,56,No,Electronic check,No
187,1193,56.0,Male,365,90.64764872194029,6073.392464369999,Yes,DSL,67,Yes,Mailed check,No
188,2521,64.0,Female,30,44.1713732091318,397.5423588821862,Yes,Fiber optic,9,No,Electronic check,Yes
189,4654,83.0,Male,730,116.05922878561792,580.2961439280896,No,Fiber optic,5,No,Mailed check,No
190,4540,53.0,Female,30,58.41765552044174,876.2648328066261,No,No,15,Yes,Mailed check,No
191,4669,38.0,Male,365,60.92275940840977,2680.6014139700296,No,No,44,No,Electronic check,Yes
192,3386,85.0,Male,365,108.21156871941554,4761.309023654284,No,Fiber optic,44,Yes,Mailed check,No
194,685,64.0,Male,730,40.84862067427895,1388.853102925484,No,DSL,34,No,Bank transfer,Yes
195,4723,87.0,Female,365,94.21790382951563,1224.832749783703,Yes,No,13,No,Mailed check,Yes
196,3306,79.0,Male,730,73.827723954483,3617.558473769667,No,No,49,No,Mailed check,No
197,3462,23.0,Female,365,105.47245941184356,3375.118701178994,Yes,Fiber optic,32,Yes,Bank transfer,No
198,842,70.0,Male,365,81.29858620636884,243.8957586191065,No,DSL,3,Yes,Bank transfer,Yes
199,2481,75.0,Female,30,64.20830171893492,3210.415085946746,No,Fiber optic,50,No,Mailed check,No
200,4422,47.0,Female,730,35.097568151388074,2176.0492253860607,No,Fiber optic,62,Yes,Electronic check,No
202,3633,78.0,Male,730,21.37438346909572,940.4728726402116,No,No,44,No,Electronic check,Yes
204,4366,23.0,Male,365,72.10796961040165,1297.9434529872296,No,No,18,Yes,Mailed check,No
205,3855,38.0,Male,30,41.18665397323024,1565.092850982749,Yes,DSL,38,Yes,Electronic check,No
206,329,75.0,Female,730,37.66234260245915,2410.389926557385,Yes,Fiber optic,64,Yes,Mailed check,No
207,844,56.0,Male,30,101.01266350119592,3636.455886043053,Yes,No,36,No,Bank transfer,Yes
208,2591,51.0,Male,30,69.95621559349236,2028.7302522112784,Yes,DSL,29,Yes,Electronic check,Yes
209,1745,48.0,Male,365,82.92189720886135,2238.8912246392565,No,No,27,Yes,Electronic check,Yes
210,2055,22.0,Female,730,64.46674708387162,1031.467953341946,No,No,16,Yes,Bank transfer,No
211,981,36.0,Male,30,77.59104674173963,775.9104674173964,No,DSL,10,Yes,Bank transfer,No
212,4450,22.0,Male,30,82.03388640619994,5496.270389215396,No,Fiber optic,67,No,Mailed check,Yes
213,4099,56.0,Male,30,118.06541915625388,5667.140119500186,Yes,DSL,48,Yes,Mailed check,Yes
214,4394,49.0,Male,30,118.3762134568902,1065.3859211120118,No,Fiber optic,9,No,Mailed check,No
215,2739,36.0,Male,30,107.73061903120576,5817.453427685111,No,DSL,54,No,Credit card,Yes
216,4331,59.0,Female,365,44.59030425632667,1516.0703447151068,No,DSL,34,No,Credit card,Yes
217,3080,42.0,Female,365,69.74366535230163,1464.6169723983344,No,DSL,21,No,Electronic check,No
218,3399,66.0,Female,730,30.587325557252104,1254.0803478473365,Yes,No,41,No,Mailed check,Yes
219,2938,72.0,Male,30,49.653442935481245,844.1085299031812,Yes,Fiber optic,17,Yes,Bank transfer,No
220,2199,21.0,Male,30,88.70884721037042,3637.062735625187,No,DSL,41,No,Mailed check,No
221,2161,58.0,Female,730,67.06912176404458,2146.2118964494266,No,Fiber optic,32,Yes,Bank transfer,Yes
222,45,88.0,Male,365,119.34835217062496,835.4384651943747,Yes,DSL,7,No,Electronic check,Yes
223,2615,63.0,Male,365,90.18733544543112,5321.052791280436,Yes,Fiber optic,59,Yes,Electronic check,No
224,4875,33.0,Male,730,106.85891415610016,1496.0247981854025,No,DSL,14,Yes,Bank transfer,Yes
225,4015,37.0,Male,730,57.22586418947522,915.6138270316036,Yes,DSL,16,No,Electronic check,No
226,4876,64.0,Male,30,105.68879542053568,3170.6638626160707,No,No,30,No,Credit card,No
227,1788,50.0,Female,730,83.50510702024891,5010.306421214935,No,Fiber optic,60,No,Electronic check,Yes
228,4954,86.0,Female,730,58.43176354583717,2045.111724104301,No,No,35,Yes,Credit card,Yes
229,2445,47.0,Female,730,102.29503200222162,1329.8354160288811,Yes,Fiber optic,13,Yes,Credit card,Yes
230,3912,37.0,Female,30,110.08798989881812,4843.871555547998,Yes,DSL,44,Yes,Electronic check,Yes
231,1591,74.0,Female,365,95.087777651449,1521.4044424231838,No,DSL,16,No,Credit card,No
232,4396,30.0,Male,365,86.02727827621713,5419.71853140168,Yes,Fiber optic,63,Yes,Credit card,Yes
233,4970,84.0,Female,30,53.890820328372286,1616.724609851169,Yes,Fiber optic,30,Yes,Mailed check,No
234,4238,44.0,Female,30,53.14047647274551,1753.6357236006018,Yes,Fiber optic,33,Yes,Mailed check,Yes
235,982,35.0,Female,30,59.6851470341864,656.5366173760503,Yes,Fiber optic,11,Yes,Electronic check,No
236,3210,82.0,Male,30,73.1068019822363,1827.670049555908,No,Fiber optic,25,Yes,Bank transfer,Yes
237,351,34.0,Female,730,104.22820987482156,4273.356604867685,Yes,No,41,No,Bank transfer,No
238,4415,60.0,Female,365,25.47593861103067,968.0856672191655,No,DSL,38,No,Electronic check,No
239,1423,41.0,Female,365,26.800028364757736,241.20025528281963,Yes,No,9,No,Mailed check,No
240,3659,54.0,Male,30,90.01295624559528,6030.868068454884,No,Fiber optic,67,No,Credit card,Yes
241,4479,24.0,Male,730,44.60786049522168,2899.510932189409,No,Fiber optic,65,No,Credit card,No
242,2256,87.0,Male,30,118.34932057997749,1301.8425263797524,Yes,No,11,No,Electronic check,Yes
243,1953,60.0,Male,30,82.32589756927995,1975.8215416627183,No,Fiber optic,24,Yes,Electronic check,Yes
245,2188,77.0,Female,30,65.62430258462945,4659.325483508691,No,DSL,71,Yes,Credit card,No
246,3531,49.0,Female,730,88.98516287463015,5072.154283853918,Yes,Fiber optic,57,No,Bank transfer,Yes
247,1354,82.0,Female,365,33.89603707422125,779.6088527070887,No,Fiber optic,23,No,Mailed check,No
249,3255,22.0,Female,30,94.26342828675207,6409.913123499142,No,No,68,No,Mailed check,No
250,997,51.0,Female,730,108.92268915849871,2940.912607279465,Yes,No,27,No,Electronic check,No
251,3242,34.0,Female,30,106.74356023210666,1494.4098432494932,Yes,Fiber optic,14,Yes,Bank transfer,Yes
252,3059,71.0,Female,730,88.35808333247098,3445.9652499663684,No,DSL,39,No,Credit card,Yes
253,2292,24.0,Male,365,31.57132995689696,536.7126092672484,Yes,No,17,No,Credit card,No
254,3969,83.0,Male,365,56.65617198714902,906.4987517943844,Yes,No,16,Yes,Credit card,No
255,3700,65.0,Male,730,92.26503346615551,1753.035635856955,Yes,DSL,19,No,Mailed check,Yes
256,3517,42.0,Female,365,50.002640546489566,3300.1742760683114,No,No,66,No,Electronic check,No
257,3093,64.0,Female,730,106.08012033322127,106.08012033322127,Yes,DSL,1,No,Credit card,Yes
258,3062,38.0,Male,30,33.97101906491584,305.7391715842425,No,No,9,Yes,Electronic check,No
259,2793,68.0,Female,30,101.39161065660844,2534.790266415211,Yes,Fiber optic,25,No,Mailed check,Yes
260,2072,55.0,Male,730,68.18912312704396,3204.888786971066,Yes,Fiber optic,47,Yes,Electronic check,No
261,3484,46.0,Female,365,34.10789215193744,1296.0999017736228,Yes,Fiber optic,38,No,Mailed check,Yes
262,3372,30.0,Male,730,85.97444282694605,2407.284399154489,No,Fiber optic,28,Yes,Credit card,No
263,3607,71.0,Female,365,33.50945565953098,871.2458471478054,No,No,26,No,Credit card,Yes
264,4967,29.0,Male,30,22.1941467597564,44.3882935195128,No,No,2,Yes,Electronic check,No
265,3034,64.0,Female,365,61.993383847143576,2665.715505427174,No,DSL,43,Yes,Credit card,No
266,3188,85.0,Male,365,70.90046215620598,3545.023107810299,No,Fiber optic,50,Yes,Electronic check,Yes
267,3675,53.0,Male,730,37.08704338384754,1706.003995656987,No,No,46,Yes,Mailed check,No
268,661,84.0,Female,365,97.98425810193169,4311.307356484995,No,Fiber optic,44,No,Mailed check,No
269,2054,34.0,Male,365,107.97952074934597,431.9180829973839,Yes,No,4,Yes,Bank transfer,Yes
270,4350,71.0,Female,365,25.880453388830475,310.5654406659657,Yes,DSL,12,No,Credit card,No
271,1606,37.0,Female,730,65.9611671773604,3561.903027577461,No,No,54,Yes,Credit card,No
272,3033,58.0,Male,730,78.20092808819129,2267.826914557548,No,Fiber optic,29,Yes,Electronic check,No
273,1996,56.0,Female,365,60.3487475280505,2172.554911009818,No,DSL,36,No,Electronic check,No
274,4704,32.0,Female,30,32.59667763046863,717.1269078703099,Yes,DSL,22,Yes,Credit card,Yes
275,4947,66.0,Female,30,43.53083980753708,130.59251942261125,No,DSL,3,Yes,Credit card,No
276,224,41.0,Female,30,38.669429746141205,696.0497354305417,No,No,18,Yes,Credit card,No
277,2691,19.0,Male,30,24.044572812300075,889.6491940551027,No,Fiber optic,37,Yes,Bank transfer,No
278,2049,60.0,Female,30,62.01280789956181,2232.461084384225,No,DSL,36,Yes,Credit card,No
279,1760,64.0,Female,30,35.087804682460444,2175.4438903125474,Yes,No,62,Yes,Mailed check,Yes
280,1328,56.0,Male,730,90.55631903608372,271.6689571082512,No,Fiber optic,3,Yes,Electronic check,No
281,3058,45.0,Female,365,60.38835668860878,1449.3205605266107,No,Fiber optic,24,Yes,Mailed check,No
282,2235,26.0,Female,730,63.70240760986729,3248.822788103232,Yes,Fiber optic,51,No,Electronic check,Yes
283,3496,23.0,Male,730,65.52998477473434,2293.549467115702,No,No,35,No,Credit card,Yes
285,4367,87.0,Female,30,119.05151154502126,357.1545346350638,No,No,3,No,Mailed check,Yes
286,2824,29.0,Male,365,58.2219267622891,3784.425239548792,No,Fiber optic,65,No,Mailed check,Yes
287,4877,76.0,Female,365,101.57515874571148,4367.731826065594,Yes,No,43,No,Bank transfer,No
