,CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
92,4104,80.0,Male,Month-to-month,92.75824498949729,834.8242049054755,No,Fiber optic,9,No,Mailed check,No
93,3183,28.0,Male,Month-to-month,60.073525511368366,4265.220311307154,No,No,71,No,Bank transfer,No
94,414,57.0,Female,Two year,80.98116579787016,5587.700440053041,Yes,No,69,No,Electronic check,No
95,1238,76.0,Female,Month-to-month,65.40652563320121,915.691358864817,Yes,No,14,No,Electronic check,Yes
96,1027,36.0,Male,Month-to-month,110.24535392055206,992.2081852849685,Yes,No,9,Yes,Credit card,Yes
97,956,80.0,Male,Month-to-month,107.11321210821681,2677.8303027054203,Yes,DSL,25,Yes,Mailed check,No
98,3397,46.0,Female,Two year,44.41401186949991,2353.9426290834954,Yes,DSL,53,Yes,Mailed check,No
99,3941,58.0,Female,Two year,39.009408968808145,1365.329313908285,No,No,35,Yes,Mailed check,No
100,455,36.0,Female,Two year,56.83165056261255,3353.0673831941403,No,Fiber optic,59,No,Credit card,No
101,1770,89.0,Male,Month-to-month,85.54657014764295,5902.713340187363,No,Fiber optic,69,Yes,Mailed check,Yes
102,4419,25.0,Female,Two year,112.74612802434268,2367.6686885111963,nan,DSL,21,Yes,Credit card,Yes
103,298,26.0,Female,Two year,64.82388465553964,1879.8926550106496,Yes,No,29,No,Bank transfer,No
104,4426,77.0,Male,One year,91.9055397776866,1930.0163353314185,Yes,No,21,No,Electronic check,Yes
105,2496,40.0,Female,Month-to-month,110.10384977340232,6936.542535724346,No,Fiber optic,63,Yes,Electronic check,Yes
106,3819,19.0,Female,Month-to-month,36.712486151879936,1725.486849138357,No,DSL,47,No,Mailed check,Yes
107,1367,23.0,Female,Two year,38.65005834048039,1971.1529753645,Yes,DSL,51,Yes,Credit card,No
108,699,19.0,Male,One year,95.7813305694266,4597.503867332477,No,No,48,No,Credit card,Yes
109,2250,81.0,Female,One year,117.09921485238141,5854.9607426190705,No,No,50,No,Mailed check,Yes
110,3098,76.0,Male,Month-to-month,60.43762007162456,3868.0076845839717,No,Fiber optic,64,Yes,Mailed check,No
111,4889,47.0,Female,Month-to-month,44.28443030004477,2657.0658180026862,No,DSL,60,No,Electronic check,No
112,2157,38.0,Male,Two year,88.46716274158618,6104.234229169447,No,No,69,Yes,Electronic check,No
113,303,43.0,Male,Two year,114.34273662502832,5374.108621376331,Yes,DSL,47,No,Bank transfer,Yes
114,249,39.0,Female,Month-to-month,46.36982554510669,3245.8877881574685,No,DSL,70,Yes,Bank transfer,nan
115,4220,53.0,Female,One year,64.97345010699739,4093.3273567408355,No,No,63,No,Bank transfer,Yes
116,3862,23.0,Female,Two year,75.76719047025666,2273.0157141076998,No,Fiber optic,30,Yes,Credit card,Yes
117,2155,,Male,One year,44.26070169534522,132.78210508603564,Yes,Fiber optic,3,No,Bank transfer,No
118,4783,43.0,Male,Month-to-month,61.583405026802964,3510.254086527769,Yes,DSL,57,Yes,Mailed check,Yes
119,1132,74.0,Male,Month-to-month,111.50451261446531,4460.180504578612,Yes,Fiber optic,40,Yes,Bank transfer,No
120,1231,63.0,Female,Two year,70.35585463255225,2884.5900399346424,No,DSL,41,Yes,Credit card,Yes
121,4429,40.0,Female,One year,110.27510149740777,6285.680785352243,No,Fiber optic,57,Yes,Mailed check,No
122,3163,67.0,Female,Two year,73.8096935472837,295.2387741891348,Yes,No,4,Yes,Mailed check,Yes
123,3017,38.0,Female,One year,60.992793335107244,3476.589220101113,No,No,57,No,Electronic check,Yes
124,2340,68.0,Female,One year,35.95772327867135,323.61950950804214,Yes,No,9,Yes,Bank transfer,Yes
125,773,29.0,Female,One year,61.43831693562766,2334.6560435538513,No,DSL,38,No,Credit card,No
126,1473,61.0,Female,Two year,44.768687844660136,581.9929419805818,Yes,Fiber optic,13,Yes,Mailed check,No
127,3169,63.0,Male,Two year,66.0012097080708,2772.0508077389736,Yes,No,42,No,Credit card,No
128,1888,69.0,Male,Month-to-month,64.49666567350886,,Yes,Fiber optic,39,No,Electronic check,No
129,242,25.0,Male,Two year,61.0902058988588,1466.164941572611,Yes,Fiber optic,24,No,Bank transfer,Yes
130,4890,39.0,Male,One year,113.87716110143897,6604.87534388346,No,No,58,No,Bank transfer,No
131,890,86.0,Male,One year,93.62375967151179,6553.663177005826,No,Fiber optic,70,No,Mailed check,Yes
132,1416,63.0,Female,Two year,89.42649300626135,6081.001524425772,Yes,No,68,No,Credit card,No
133,3293,78.0,Male,One year,98.21950850680739,4026.9998487791026,Yes,DSL,41,Yes,Electronic check,No
134,4802,85.0,Male,Month-to-month,48.12947955282449,2502.7329367468737,Yes,DSL,52,Yes,Electronic check,Yes
135,3309,77.0,Male,Month-to-month,84.75951176130154,5763.646799768505,Yes,DSL,68,Yes,Electronic check,No
136,1362,69.0,Male,Month-to-month,47.47450324400229,1234.3370843440596,No,DSL,26,Yes,Bank transfer,Yes
137,1749,,Female,One year,26.383099202611355,659.5774800652839,Yes,No,25,Yes,Bank transfer,Yes
138,2284,61.0,Male,One year,47.53448501384441,380.2758801107553,Yes,Fiber optic,8,Yes,Mailed check,No
139,1157,24.0,Female,Month-to-month,82.37219692791834,2553.5381047654687,No,Fiber optic,31,No,Bank transfer,No
140,1113,57.0,Male,One year,40.773008220177815,1794.0123616878238,Yes,DSL,44,No,Bank transfer,No
141,2768,68.0,Male,Two year,79.67882300144402,5497.838787099638,nan,Fiber optic,69,Yes,Bank transfer,No
142,3811,28.0,Female,One year,101.93978447055413,2548.4946117638533,No,Fiber optic,25,No,Electronic check,No
143,1488,21.0,Female,One year,106.03503348085565,3393.1210713873807,Yes,DSL,32,No,Mailed check,Yes
144,2855,89.0,Male,Two year,80.18098088569806,4570.315910484789,Yes,No,57,No,Bank transfer,No
145,4610,19.0,Male,Two year,85.31357727815751,6834.801517555446,No,No,44,Yes,Bank transfer,No
146,3729,42.0,Female,Two year,32.98055586658794,2242.67779892798,Yes,No,68,No,Mailed check,No
147,2461,34.0,Female,One year,70.21280957856249,4634.045432185124,Yes,nan,66,Yes,Credit card,Yes
148,2663,83.0,Female,Month-to-month,114.57384219894527,5499.544425549373,Yes,DSL,48,Yes,Mailed check,Yes
149,3876,60.0,Male,Two year,75.61700680497535,3856.4673470537427,No,No,51,No,Mailed check,No
150,4261,61.0,Female,One year,56.48676093204113,3163.258612194303,No,Fiber optic,56,Yes,Credit card,No
151,1361,53.0,Male,Month-to-month,62.892370774015944,1320.7397862543348,Yes,No,21,Yes,Electronic check,No
152,2165,75.0,Female,One year,58.0668263803919,2903.341319019595,Yes,DSL,50,No,Mailed check,Yes
153,2858,36.0,Male,Month-to-month,66.03808754259775,1386.7998383945528,Yes,DSL,21,Yes,Electronic check,No
154,677,22.0,Female,Two year,111.52779789128344,5241.806500890321,No,DSL,47,Yes,Bank transfer,Yes
155,3549,58.0,Female,Month-to-month,95.32767271313035,2097.2087996888677,No,DSL,22,Yes,Bank transfer,No
156,736,87.0,Male,One year,30.470515686242155,2132.936098036951,No,No,70,Yes,Credit card,Yes
157,4619,29.0,nan,One year,51.740532915896914,3466.615705365093,Yes,Fiber optic,67,Yes,Bank transfer,No
158,655,33.0,Male,Month-to-month,36.64320766624571,1209.2258529861083,Yes,DSL,33,Yes,Bank transfer,Yes
159,374,33.0,Male,Month-to-month,115.28695203580837,5418.486745682993,No,No,47,No,Mailed check,Yes
160,2114,35.0,Male,One year,22.076408972446096,1434.9665832089963,No,DSL,65,No,Mailed check,Yes
161,1955,77.0,Female,One year,59.24448441769249,3732.402518314627,Yes,DSL,63,No,Bank transfer,No
162,2652,50.0,Female,Two year,27.789376559515702,1389.4688279757852,No,Fiber optic,50,No,Mailed check,Yes
163,2007,38.0,Female,Month-to-month,20.099899226694266,20.099899226694266,No,DSL,1,No,Bank transfer,No
164,901,79.0,Female,One year,20.956171285047823,1131.6332493925825,Yes,No,54,Yes,Credit card,Yes
165,1040,29.0,Male,Two year,49.29056754833596,887.2302158700472,Yes,Fiber optic,18,Yes,Bank transfer,Yes
166,1912,31.0,Female,One year,76.83627588475937,4687.012828970322,No,Fiber optic,61,Yes,Electronic check,No
167,4277,55.0,nan,Month-to-month,72.04834143905484,2953.9819990012484,No,Fiber optic,41,No,Credit card,Yes
168,196,50.0,Female,Two year,26.30153906928105,499.72924231633993,Yes,Fiber optic,19,Yes,Mailed check,Yes
169,2760,76.0,Female,Month-to-month,77.36057861238032,4254.831823680917,Yes,DSL,55,Yes,Bank transfer,No
170,4457,28.0,Male,One year,37.11224219805666,445.34690637667995,Yes,DSL,12,No,Credit card,No
171,4672,31.0,Female,Two year,50.76376081000897,101.52752162001794,No,No,2,Yes,Bank transfer,No
172,2002,49.0,Male,Month-to-month,36.555317977469386,2193.319078648163,No,DSL,60,Yes,Mailed check,Yes
173,4155,19.0,Female,One year,41.87887458075835,753.8197424536503,Yes,DSL,18,No,Credit card,Yes
174,420,63.0,Female,One year,46.92603164709776,3050.1920570613543,No,Fiber optic,65,Yes,Electronic check,Yes
175,1702,43.0,Female,One year,22.222063951993835,155.55444766395684,No,Fiber optic,7,Yes,Mailed check,No
176,1239,89.0,Female,Two year,47.72250074218823,3149.6850489844232,Yes,Fiber optic,66,Yes,Credit card,No
177,2809,34.0,Female,One year,41.54107052621403,1370.855327365063,No,Fiber optic,33,No,Mailed check,Yes
178,4520,88.0,Male,Two year,116.00582757647734,6612.332171859209,No,No,57,Yes,Mailed check,No
179,3456,74.0,Female,Two year,72.00625751846134,3744.32539095999,Yes,DSL,52,Yes,Bank transfer,Yes
180,3670,50.0,Female,Two year,106.61065613045422,2345.434434869993,Yes,No,22,nan,Electronic check,Yes
181,1612,76.0,Male,One year,70.07055904938852,1051.0583857408278,Yes,DSL,15,No,Mailed check,Yes
182,4604,67.0,Female,One year,32.890505388163746,2006.3208286779884,Yes,DSL,61,Yes,Mailed check,No
183,3942,76.0,Female,Two year,67.54838061832868,2093.999799168189,Yes,DSL,31,Yes,Electronic check,No
184,3787,62.0,Male,Month-to-month,111.20680598883183,5115.513075486264,Yes,DSL,46,Yes,Bank transfer,Yes
185,972,,Male,Two year,71.74655536537264,3802.56743436475,Yes,Fiber optic,53,No,Electronic check,No
186,1148,49.0,Male,Two year,44.637139862798186,133.91141958839455,Yes,DSL,3,Yes,Credit card,Yes
187,1026,40.0,Male,Two year,51.34105862196249,3439.8509276714867,No,No,67,No,Credit card,No
188,1437,19.0,Female,One year,96.09735645316532,5285.354604924092,No,No,55,Yes,Electronic check,No
189,4095,77.0,Male,One year,75.40170191076189,4071.6919031811417,No,Fiber optic,54,No,Credit card,Yes
190,3858,77.0,Male,Month-to-month,93.67216436264017,2341.8041090660045,No,No,25,Yes,Credit card,Yes
191,4107,84.0,Male,One year,103.75995675057702,4669.1980537759655,No,Fiber optic,45,No,Mailed check,No
192,4408,45.0,Female,Month-to-month,51.985303892971004,571.838342822681,Yes,No,11,No,Electronic check,Yes
193,1456,63.0,Female,One year,45.899607329963274,1009.7913612591921,No,Fiber optic,22,No,Credit card,No
194,1529,37.0,Male,Two year,81.83403172799413,2209.5188566558413,Yes,No,27,Yes,Mailed check,Yes
195,2021,81.0,Female,Two year,86.5534000170014,5799.077801139093,No,No,67,No,Mailed check,No
196,1049,47.0,Female,Month-to-month,63.765236472442226,3379.557533039438,Yes,Fiber optic,53,Yes,Credit card,No
197,4748,46.0,Female,Two year,78.27651134435445,391.38255672177223,No,Fiber optic,5,No,Electronic check,Yes
198,1782,36.0,Female,One year,61.64904123690699,3452.346309266791,Yes,DSL,56,No,Electronic check,No
199,1193,56.0,Male,One year,90.64764872194029,6073.392464369999,Yes,DSL,67,Yes,Mailed check,No
200,2521,64.0,Female,Month-to-month,44.1713732091318,397.5423588821862,Yes,Fiber optic,9,No,Electronic check,Yes
201,4654,83.0,Male,Two year,116.05922878561792,580.2961439280896,No,Fiber optic,5,No,Mailed check,No
202,4540,53.0,Female,Month-to-month,58.41765552044174,876.2648328066261,No,No,15,Yes,Mailed check,No
203,4669,38.0,Male,One year,60.92275940840977,2680.6014139700296,No,No,44,No,Electronic check,Yes
204,3386,85.0,Male,One year,108.21156871941554,4761.309023654284,No,Fiber optic,44,Yes,Mailed check,No
205,4103,76.0,Male,One year,106.7283885889112,0.0,No,DSL,0,Yes,Bank transfer,No
206,685,64.0,Male,Two year,40.84862067427895,1388.853102925484,No,DSL,34,No,Bank transfer,Yes
207,4723,87.0,Female,One year,94.21790382951563,1224.8327497837033,Yes,No,13,No,Mailed check,Yes
208,3306,79.0,Male,Two year,73.827723954483,3617.558473769667,No,No,49,No,Mailed check,No
209,3462,23.0,Female,One year,105.47245941184356,3375.118701178994,Yes,Fiber optic,32,Yes,Bank transfer,No
210,1563,77.0,Male,Two year,104.31836266573511,4485.6895946266095,nan,Fiber optic,43,No,Electronic check,No
211,842,70.0,Male,One year,81.29858620636884,243.89575861910652,No,DSL,3,Yes,Bank transfer,Yes
212,2481,75.0,Female,Month-to-month,64.20830171893492,3210.415085946746,No,Fiber optic,50,No,Mailed check,No
213,4422,47.0,Female,Two year,35.097568151388074,2176.0492253860607,No,Fiber optic,62,Yes,Electronic check,No
214,1552,43.0,Female,Two year,34.8545151509981,2056.4163939088876,nan,Fiber optic,59,Yes,Electronic check,No
215,594,23.0,Female,Two year,32.78058427952129,0.0,Yes,Fiber optic,0,No,Bank transfer,No
216,3633,78.0,Male,Two year,21.37438346909572,940.4728726402116,No,No,44,No,Electronic check,Yes
217,2871,71.0,Female,Two year,57.50589441131063,0.0,No,Fiber optic,0,Yes,Credit card,No
218,4366,23.0,Male,One year,72.10796961040165,1297.9434529872296,No,No,18,Yes,Mailed check,No
219,1897,,Female,Two year,79.55507012324858,954.660841478983,No,DSL,12,Yes,Bank transfer,Yes
220,3855,38.0,Male,Month-to-month,41.186653973230236,1565.092850982749,Yes,DSL,38,Yes,Electronic check,No
221,329,75.0,Female,Two year,37.66234260245915,2410.3899265573855,Yes,Fiber optic,64,Yes,Mailed check,No
222,844,56.0,Male,Month-to-month,101.01266350119592,3636.455886043053,Yes,No,36,No,Bank transfer,Yes
223,2591,51.0,Male,Month-to-month,69.95621559349236,2028.7302522112784,Yes,DSL,29,Yes,Electronic check,Yes
224,1745,48.0,Male,One year,82.92189720886135,2238.8912246392565,No,No,27,Yes,Electronic check,Yes
225,2055,22.0,Female,Two year,64.46674708387162,1031.467953341946,No,No,16,Yes,Bank transfer,No
226,981,36.0,Male,Month-to-month,77.59104674173963,775.9104674173964,No,DSL,10,Yes,Bank transfer,No
227,4450,22.0,Male,Month-to-month,82.03388640619994,5496.270389215396,No,Fiber optic,67,No,Mailed check,Yes
228,4099,56.0,Male,Month-to-month,118.06541915625388,5667.140119500186,Yes,DSL,48,Yes,Mailed check,Yes
229,1624,,Male,One year,44.68117451540361,89.36234903080722,Yes,DSL,2,No,Electronic check,No
230,4394,49.0,Male,Month-to-month,118.3762134568902,1065.3859211120118,No,Fiber optic,9,No,Mailed check,No
231,2739,36.0,Male,Month-to-month,107.73061903120576,5817.453427685111,No,DSL,54,No,Credit card,Yes
232,4331,59.0,Female,One year,44.59030425632667,1516.0703447151068,No,DSL,34,No,Credit card,Yes
233,3080,42.0,Female,One year,69.74366535230163,1464.6169723983344,No,DSL,21,No,Electronic check,No
234,3399,66.0,Female,Two year,30.587325557252104,1254.0803478473363,Yes,No,41,No,Mailed check,Yes
235,2938,72.0,Male,Month-to-month,49.653442935481245,844.1085299031812,Yes,Fiber optic,17,Yes,Bank transfer,No
236,2199,21.0,Male,Month-to-month,88.70884721037042,3637.062735625187,No,DSL,41,No,Mailed check,No
237,2161,58.0,Female,Two year,67.06912176404458,2146.2118964494266,No,Fiber optic,32,Yes,Bank transfer,Yes
238,45,88.0,Male,One year,119.34835217062495,835.4384651943747,Yes,DSL,7,No,Electronic check,Yes
239,2615,63.0,Male,One year,90.18733544543112,5321.0527912804355,Yes,Fiber optic,59,Yes,Electronic check,No
240,4875,33.0,Male,Two year,106.85891415610017,1496.0247981854025,No,DSL,14,Yes,Bank transfer,Yes
241,2343,55.0,Male,One year,,,Yes,DSL,1,Yes,Bank transfer,Yes
242,4015,37.0,Male,Two year,57.225864189475224,915.6138270316036,Yes,DSL,16,No,Electronic check,No
243,4876,64.0,Male,Month-to-month,105.68879542053568,3170.6638626160707,No,No,30,No,Credit card,No
244,1788,50.0,Female,Two year,83.50510702024891,5010.306421214935,No,Fiber optic,60,No,Electronic check,Yes
245,4954,86.0,Female,Two year,58.43176354583717,2045.111724104301,No,No,35,Yes,Credit card,Yes
246,2566,64.0,Female,One year,111.98941808189646,4367.587305193962,No,Fiber optic,39,nan,Mailed check,Yes
247,2445,47.0,Female,Two year,102.29503200222162,1329.8354160288811,Yes,Fiber optic,13,Yes,Credit card,Yes
248,3912,37.0,Female,Month-to-month,110.08798989881812,4843.871555547998,Yes,DSL,44,Yes,Electronic check,Yes
249,1591,74.0,Female,One year,95.08777765144899,1521.4044424231838,No,DSL,16,No,Credit card,No
250,4396,30.0,Male,One year,86.02727827621713,5419.71853140168,Yes,Fiber optic,63,Yes,Credit card,Yes
251,4970,84.0,Female,Month-to-month,53.890820328372286,1616.7246098511687,Yes,Fiber optic,30,Yes,Mailed check,No
252,4238,44.0,Female,Month-to-month,53.140476472745505,1753.6357236006018,Yes,Fiber optic,33,Yes,Mailed check,Yes
253,982,35.0,Female,Month-to-month,59.6851470341864,656.5366173760503,Yes,Fiber optic,11,Yes,Electronic check,No
254,3210,82.0,Male,Month-to-month,73.1068019822363,1827.6700495559076,No,Fiber optic,25,Yes,Bank transfer,Yes
255,351,34.0,Female,Two year,104.22820987482157,4273.356604867685,Yes,No,41,No,Bank transfer,No
